0, jpg
1, arw
2, cr2
3, dng
4, gpr
5, nef
6, nrw
7, orf
8, pef
9, raf
10, rw2
11, 3fr
12, tiff
13, heic
14, bmp
15, gif
16, png
17, ai
18, eps
19, psd
20, mov
21, mp4
22, 3gp
23, avi
24, mkv
25, ogv
26, webm
27, apk
28, jar
29, msi
30, dmg
31, 7z
32, bz2
33, deb
34, gz
35, pkg
36, rar
37, rpm
38, xz
39, zip
40, exe
41, mach-o
42, elf
43, dll
44, doc
45, docx
46, key
47, ppt
48, pptx
49, xls
50, xlsx
51, djvu
52, epub
53, mobi
54, pdf
55, md
56, rtf
57, txt
58, tex
59, json
60, html
61, xml
62, log
63, csv
64, aiff
65, flac
66, m4a
67, mp3
68, ogg
69, wav
70, wma
71, pcap
72, ttf
73, dwg
74, sqlite
